"Protokół","Pakiety [%]","Pakiety","Bajty [%]","Bajtów","Bity/s","Krańcowych pakietów","Krańcowych bajtów","Krańcowych bitów/s"
"Media Type",0.003004724487385165,51,0.8528771994168352,4128771,25508.283535732648,51,1537213,9497.176050406813
"Line-based text data",0.006834275304640767,116,0.5226384238113815,2530088,15631.334863172297,115,844227,5215.784959863593
"JPEG File Interchange Format",0.004831125646383991,82,0.4734827878781634,2292126,14161.163190601932,81,2299318,14205.596649175679
"JavaScript Object Notation",0.0010604909955477053,18,0.035267984107337294,170732,1054.8127432164938,6,31760,196.21894386849473
"HTML Form URL Encoded",0.0011194071619670223,19,0.004234876544435266,20501,126.65883401284668,18,37356,230.79202982215017
"eXtensible Markup Language",0.00011783233283863393,2,0.0009066325132201542,4389,27.116024705252627,2,3132,19.350054540180274
"Compuserve GIF",0.001649652659740875,28,0.006051240109881795,29294,180.9835560983528,28,30757,190.0222310001037
"GSM over IP protocol as used by ip.access",5.891616641931696e-5,1,0.0002974597445971798,1440,8.896576800082885,0,0,0
"Radio Signalling Link (RSL)",5.891616641931696e-5,1,0.00029684003679593564,1437,8.878042265082712,1,1437,8.878042265082712
"Gopher",0.0021209819910954107,36,0.0002586247223858813,1252,7.735079273405397,36,1252,7.735079273405397
"EtherCAT frame header",5.891616641931696e-5,1,4.131385341627497e-7,2,0.012356356666781785,0,0,0
"TwinCAT IO-RAW",5.891616641931696e-5,1,0.0002662677852678922,1289,7.9636718717408606,1,1289,7.9636718717408606
"Shim6 Protocol",5.891616641931696e-5,1,0.000295394051926366,1430,8.834795016748975,0,0,0
"Resource ReserVation Protocol (RSVP)",0.0006480778306124866,11,0.0013381557121531463,6478,40.0222392437062,0,0,0
"Pragmatic General Multicast",0.00023566466567726785,4,0.00043462173793921266,2104,12.998887213454438,3,683,4.21969580170598
"Open Shortest Path First",0.00017674849925795088,3,0.0006112384612937882,2959,18.28122968850365,3,2959,18.28122968850365
"Novell Cluster Services",0.00011783233283863393,2,0.0006114450305608695,2960,18.287407866837043,2,2960,18.287407866837043
"NBMA Next Hop Resolution Protocol",0.00035349699851590176,6,0.001103286455481623,5341,32.99765047864076,0,0,0
"MultiProtocol Label Switching Header",0.0004713293313545357,8,6.610216546603995e-6,32,0.19770170666850856,0,0,0
"PW Ethernet Control Word",5.891616641931696e-5,1,8.262770683254994e-7,4,0.02471271333356357,0,0,0
"PW Associated Channel Header",5.891616641931696e-5,1,8.262770683254994e-7,4,0.02471271333356357,0,0,0
"Mobile IPv6",0.00011783233283863393,2,2.0656926708137484e-5,100,0.6178178333390892,0,0,0
"Lightweight User Datagram Protocol",0.00011783233283863393,2,3.3051082733019975e-6,16,0.09885085333425428,0,0,0
"Layer 2 Tunneling Protocol",0.00011783233283863393,2,0.0003084079157524927,1493,9.224020251752602,0,0,0
"Cisco HDLC",0.00011783233283863393,2,1.6525541366509987e-6,8,0.04942542666712714,0,0,0
"Internet Group Management Protocol",0.006362945973286232,108,0.0015370819163525102,7441,45.97182497876163,107,7425,45.872974125427376
"Internet Control Message Protocol",3.401348119720007,57732,0.8441816661190447,4086676,25248.213118788557,57730,4086540,25247.372886535217
"Host Identity Protocol",0.00017674849925795088,3,0.0005955391969956037,2883,17.811688135165944,2,2851,17.613986428497434
"Fragment Header for IPv6",5.891616641931696e-5,1,1.6525541366509987e-6,8,0.04942542666712714,0,0,0
"Ethernet over IP",0.00011783233283863393,2,8.262770683254994e-7,4,0.02471271333356357,0,0,0
"Ethernet",0.00011783233283863393,2,5.783939478278496e-6,28,0.172988993334945,0,0,0
"Encapsulating Security Payload",0.00017674849925795088,3,0.0006120647383621137,2963,18.305942401837214,3,2963,18.305942401837214
"Dynamic Source Routing",0.00011783233283863393,2,2.809342032306698e-5,136,0.8402322533411614,0,0,0
"Datagram Congestion Control Protocol",0.0002945808320965848,5,0.000535634109542005,2593,16.020016418482584,3,1138,7.030766943398835
"Cisco Interior Gateway Routing Protocol",5.891616641931696e-5,1,6.610216546603995e-6,32,0.19770170666850856,0,0,0
"AX/4000 Test Block",5.891616641931696e-5,1,2.086349597521886e-5,101,0.6239960116724801,1,101,0.6239960116724801
"Authentication Header",5.891616641931696e-5,1,0.0002933283592555523,1420,8.773013233415067,0,0,0
"Amateur Radio AX.25",5.891616641931696e-5,1,1.404671016153349e-5,68,0.4201161266705807,0,0,0
"HP Extended Local-Link Control",0.009249838127832763,157,0.00022701962452243096,1099,6.789817988396591,0,0,0
"Ethernet Local Management Interface",5.891616641931696e-5,1,0.0002989057294667494,1447,8.939824048416622,1,1447,8.939824048416622
"Data",7.8728494862804865,133628,6.9529091767525175,33658972,207951.1315346107,133628,33658972,207951.1315346107
"Cisco Wireless LAN Context Control Protocol",0.00011783233283863393,2,6.610216546603995e-6,32,0.19770170666850856,2,32,0.19770170666850856
"Cisco Discovery Protocol",0.0004713293313545357,8,0.00021648459190128083,1048,6.474730893393655,8,1048,6.474730893393655
"Building Automation and Control Network NPDU",0.01025141295696115,174,0.0020580496079317377,9963,61.55319073557346,0,0,0
"Building Automation and Control Network APDU",0.010015748291283884,170,0.001561663659135194,7560,46.70702820043515,92,6696,41.369082120385414
"Banyan Vines LLC",0.009367670460671397,159,3.2844513465938604e-5,159,0.9823303550091519,0,0,0
"Address Resolution Protocol",0.3603901899869619,6117,0.03538035778862956,171276,1058.1736722298585,6117,171276,1058.1736722298585
"802.1X Authentication",0.010781658454735004,183,0.003937829938372249,19063,117.77461356943058,177,18381,113.56109594605799
"802.1Q Virtual LAN",0.01472904160482924,250,0.00020656926708137485,1000,6.178178333390893,0,0,0
"3Com XNS Encapsulation",0.01066382612189637,181,0.0001495561493669154,724,4.473001113375006,0,0,0
"Internetwork Packet eXchange",0.00011783233283863393,2,1.2394156024882491e-5,60,0.37069070000345355,0,0,0
"IEEE 802.11 wireless LAN extension frame",0.06639851955457021,1127,0.07453473608683583,360822,2229.2226626107686,1049,338815,2093.259492027835
"IEEE 802.11 wireless LAN aggregate frame",0.864889323035573,14680,1.843365060623804,8923714,55132.29648817697,14318,8588134,53059.02340305766
"Ethernet",0.00023566466567726785,4,1.1567878956556992e-5,56,0.34597798666989,0,0,0
"Data",0.42189866772872875,7161,0.5449247688982569,2637976,16297.886167205173,7161,2637976,16297.886167205173

